scenario,sample_id,architecture,method,status,error_px,iou,angular_error_deg,scale_ratio_error,runtime_ms,score,failure_mode
ablation_seed_29,finfet_0000,finfet,HYBRID-EQUAL,ok,0.2619099690038657,0.7792908712880775,69.8593066261229,0.0008319955375036971,287.20924399976866,0.7703637396401308,scale_orientation_error
ablation_seed_29,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.2619099690038657,0.7792908712880775,69.8593066261229,0.0008319955375036971,285.7200419998662,0.6975921901580764,scale_orientation_error
ablation_seed_47,dram_0000,dram,NCC,ok,27.58056629840009,0.35226991075320385,167.46499376261409,0.06467756487573526,53.47472600033143,0.5986364334821701,false_positive
ablation_seed_47,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,51.11454100006085,,missed_detection
ablation_seed_47,dram_0000,dram,HYBRID-EQUAL,ok,0.3640814436538738,0.7514568003477228,25.089947529175333,0.014517202931184615,272.64613299985285,0.7855342115267651,scale_orientation_error
ablation_seed_47,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.3640814436538738,0.7514568003477228,25.089947529175333,0.014517202931184615,279.8094830000082,0.695564839023988,scale_orientation_error
ablation_seed_47,finfet_0000,finfet,NCC,ok,50.52837290904354,0.19347797458580002,169.58851348854424,0.31022290641642025,51.99926499972207,0.5919799506664276,false_positive
ablation_seed_47,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,43.052025999713806,,missed_detection
ablation_seed_47,finfet_0000,finfet,HYBRID-EQUAL,ok,0.5180140350031565,0.7744692368724919,20.875246704996016,0.007189359942100794,280.89641799988385,0.716082496986147,scale_orientation_error
ablation_seed_47,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.5180140350031565,0.7744692368724919,20.875246704996016,0.007189359942100794,281.11621400012154,0.630167944177673,scale_orientation_error
rotation_deg=0.0,dram_0000,dram,NCC,ok,0.6226920970510426,0.9826207663844593,0.0,0.0,52.287863999936235,0.9226980805397034,success
rotation_deg=0.0,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,42.1036269999604,,missed_detection
rotation_deg=0.0,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.5409174404983752,0.9850750824790245,0.2430211199364294,0.00036006231327934124,249.98993200006225,0.7974058690150608,success
rotation_deg=0.0,finfet_0000,finfet,NCC,ok,0.04151568737298152,0.9980014419403371,0.0,0.0,51.995719999922585,0.8797212541103363,success
rotation_deg=0.0,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,44.31803600027706,,missed_detection
rotation_deg=0.0,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.8283995020608242,0.9630643017516599,1.4177495001172247,0.014164699541735493,266.6836969997348,0.7345669138350932,success
rotation_deg=30.0,dram_0000,dram,NCC,ok,44.46119678361242,0.26871000155145675,30.0,0.25,55.541035999794985,0.5739628076553345,false_positive
rotation_deg=30.0,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,45.685206999678485,,missed_detection
rotation_deg=30.0,dram_0000,dram,HYBRID-CONFIDENCE,ok,1.1920219899888251,0.7325962107305307,60.70166203709991,0.024137083923459368,292.59350200027257,0.6737686163436328,scale_orientation_error
rotation_deg=30.0,finfet_0000,finfet,NCC,ok,72.26672240398952,0.14396803520663118,30.0,0.0,53.58651300002748,0.5550931096076965,false_positive
rotation_deg=30.0,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,60.814208000010694,,missed_detection
rotation_deg=30.0,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.3400242838898455,0.731052638579111,59.72598553629308,0.0035600277520729806,338.3258480002951,0.671233264010854,scale_orientation_error
rotation_deg=90.0,dram_0000,dram,NCC,ok,281.0349166421237,0.0,90.0,0.0,55.48538299990469,0.9135998785495758,false_positive
rotation_deg=90.0,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,46.382612000343215,,missed_detection
rotation_deg=90.0,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.6209107876367618,0.9828085124295693,179.68479736232223,0.0017489294550728784,275.98602399984884,0.3921051869147764,scale_orientation_error
rotation_deg=90.0,finfet_0000,finfet,NCC,ok,70.15155737129082,0.09133738570960413,90.0,0.25,52.56484500023362,0.5951002612709999,false_positive
rotation_deg=90.0,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,44.63742000007187,,missed_detection
rotation_deg=90.0,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.9177718940309658,0.9456213973255322,179.20591262551784,0.027559845672153305,264.50505100001465,0.5681253820240599,scale_orientation_error
rotation_deg=180.0,dram_0000,dram,NCC,ok,269.4258821523405,0.0,180.0,0.0,55.09557400000631,0.8943293690681458,false_positive
rotation_deg=180.0,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,40.344483999888325,,missed_detection
rotation_deg=180.0,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.7493954508078894,0.9745182063045013,0.5180949022758057,0.010741313397656937,251.8615420003698,0.366152792233816,success
rotation_deg=180.0,finfet_0000,finfet,NCC,ok,685.3158713538058,0.0,180.0,0.0,52.76608399981342,0.8700213134288788,false_positive
rotation_deg=180.0,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,45.21236400023554,,missed_detection
rotation_deg=180.0,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,1.2399402933504615,0.9668341793350835,0.7025568364829269,0.00097975710223841,259.4326779999392,0.27201399179828833,success
rotation_deg=270.0,dram_0000,dram,NCC,ok,461.870412626476,0.0,90.00000000000001,0.0,54.19871100002638,0.8797271549701691,false_positive
rotation_deg=270.0,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,44.43100299977232,,missed_detection
rotation_deg=270.0,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.44516183756244826,0.9796957360216326,179.6948415451324,0.009963117657874054,253.1648179997319,0.28720954162937895,scale_orientation_error
rotation_deg=270.0,finfet_0000,finfet,NCC,ok,76.96424299547691,0.0661402785758331,90.00000000000001,0.25,52.64468300038061,0.5844481140375137,false_positive
rotation_deg=270.0,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,44.43078300027992,,missed_detection
rotation_deg=270.0,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,1.3159594418503875,0.9637247955480521,179.61907719590312,0.012338750814655408,263.7875450000138,0.6341432159775048,scale_orientation_error
scale_ratio=0.5,dram_0000,dram,NCC,ok,12.980432443406734,0.14090668194567174,45.0,0.5,54.84183699991263,0.577548198401928,scale_orientation_error
scale_ratio=0.5,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,49.61693599989303,,missed_detection
scale_ratio=0.5,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.9298451693339109,0.9866847253498822,89.81799906065669,0.004461882136748141,264.95424899985665,0.7914481873872842,scale_orientation_error
scale_ratio=0.5,finfet_0000,finfet,NCC,ok,144.2903632295834,0.03763240549391181,45.0,1.0,53.23052399990047,0.5579090155661106,false_positive
